Artist,Song Title,Album,Year,Top topic,Second topic,third topic,fourth topic,fifth topic
Busta Rhymes,Busta Rhymes It Ain't Safe No More It Ain't Safe No More,It Ain't Safe No More...,2002,society,life,storytelling,religion,life
Drake,All Me[Deluxe Edition Bonus Track],Nothing Was The Same,2013,society,life,storytelling,religion,life
"Tyler, the Creator",Bastard,Bastard,2009,society,life,storytelling,religion,life
"Tyler, the Creator",Golden,Goblin,2011,society,life,storytelling,religion,life
Chance the Rapper,Good Ass Intro,Acid Rap,2013,society,music,storytelling,religion,life
Lil Wayne,Dedication 4,Dedication 3,2012,society,music,storytelling,religion,life
NWA,Compton's N The House,Straight Outta Compton,1988,society,music,storytelling,religion,life
Run the Jewels,Jeopardy,Run The Jewels 2,2014,society,music,storytelling,religion,life
Snoop Dogg,Freestyle,That's My Work 3,2014,society,music,storytelling,religion,life
Ice Cube,Really Doe,Lethal Injection,1993,life,religion,storytelling,religion,life
Ice Cube,Doing Dumb Shi,Death Certificate,1991,life,society,storytelling,religion,life
The Notorius BIG,Get Your Grind On,Duets: The Final Chapter,2005,life,society,storytelling,religion,life
Ice Cube,Hood Mentality,Raw Footage,2008,music,society,storytelling,religion,life
The Notorius BIG,Intro,Ready To Die,1994,music,society,storytelling,religion,life
"Tyler, the Creator",2SEATER,Cherry Bomb,2015,storytelling,society,war,religion,life
Nas,Black Zombie,The Lost Tapes,2002,society,storytelling,religion,revolution,life
Jay-Z,Who Gon Stop Me,Watch The Throne,2011,society,life,storytelling,revolution,life
Kanye West,Who Gon Stop Me,Watch The Throne,2011,society,life,storytelling,revolution,life
Tupac,Black Cotton,Loyal To The Game,2004,society,life,storytelling,revolution,life
Lil Wayne,He's Dead,Free Weezy Album,2015,storytelling,life,biology,society,life
Beastie Boys,3 The Hard Way,To The 5 Boroughs,2004,society,music,biology,society,life
Kanye West,I'll Fly Away,College Dropout,2004,storytelling,society,biology,society,life
Coolio,Exercise Yo Game,Gangsta's Paradise,1995,life,storytelling,biology,society,life
Nas,Shootouts,It Was Written,1996,life,storytelling,biology,society,life
Kanye West,Higher,Cruel Summer,2012,storytelling,music,culture,society,life
Chance the Rapper,Angels,Coloring Book,2016,life,storytelling,culture,society,life
Ice Cube,Ice Cube War &amp; Peace Vol 1: The War Disc Greed,War &amp; Peace Vol. 1: The War Disc,1998,music,society,government,society,life
LL Cool J,I Shot Ya,Mr Smith,1995,music,storytelling,government,society,life
Lil Wayne,"Lil Wayne Lil Weezy Ana, Vol1 Off The Docks","Lil Weezy Ana, Vol.1",2006,society,storytelling,government,society,life
LL Cool J,Eat 'Em Up L Chill,Mama Said Knock You Out,1990,storytelling,war,government,society,life
LL Cool J,Diggy Down,14 Shots To The Dome,1993,storytelling,geography,life,society,life
MC Hammer,Break 'Em Off Somethin' Proper,The Funky Headhunter,1994,geography,government,life,society,life
Lil Wayne,I'm A Dboy,Tha Carter II,2005,music,music,life,society,life
Beastie Boys,No Sleep 'Til Brooklyn,Licensed To Ill,1986,society,music,life,society,life
LL Cool J,Candy,Phenomenon,1997,storytelling,society,life,society,life
Tupac,Thugz Mansion,Better Dayz,2002,storytelling,society,life,society,life
LL Cool J,American Girl,Exit 13,2008,government,storytelling,life,society,life
Snoop Dogg,Paper'd Up,Paid Tha Cost To Be Da Boss,2002,government,storytelling,life,society,life
Beastie Boys,Pop Your Balloon[Deluxe Edition Bonus Track],Hot Sauce Committee Part Two,2011,music,storytelling,life,society,life
Ice Cube,Spittin' Pollaseeds,"Laugh Now, Cry Later",2006,music,storytelling,life,society,life
Wu-Tang Clan,Redbull,The W,2000,music,storytelling,life,society,life
Kendrick Lamar,Kendrick Lamar Section80 Ab-Soul's Outro,Section.80,2011,society,storytelling,life,society,life
Lil Wayne,Phone Home,Tha Carter III,2008,society,storytelling,life,society,life
Nas,Queens Get The Money,Untitled,2008,society,storytelling,life,society,life
Public Enemy,MPE,Yo! Bum Rush The Show,1987,music,war,life,society,life
LL Cool J,LL Cool J GOAT (Greatest Of All Time) Queens Is,G.O.A.T. (Greatest Of All Time),2000,music,geography,music,society,life
Jay-Z,Jay-Z In My Lifetime Vol 1 Real Niggaz,In My Lifetime Vol. 1,1997,society,geography,music,society,life
A Tribe Called Quest,Rap Promoter,The Low End Theory,1991,society,life,music,society,life
Jay-Z,Show You How,The Blueprint 2: The Gift &amp; The Curse,2002,storytelling,life,music,society,life
LL Cool J,Hip Hop,Mr Smith,1995,storytelling,music,music,society,life
Lil Wayne,Hustlin,Dedication 2: Gangsta Grillz,2006,music,society,music,society,life
Jay-Z,Roc Boys (And The Winner Is),American Gangster,2007,storytelling,society,music,society,life
Jay-Z,All I Need,The Blueprint,2001,life,storytelling,music,society,life
Beastie Boys,Finger Licken' Good,Check Your Head,1992,society,storytelling,music,society,life
Busta Rhymes,Respect My Conglomerate 2,The Return Of The Dragon: The Abstract Went On Vacation,2015,society,storytelling,music,society,life
Kanye West,The Glory,Graduation,2007,society,storytelling,music,society,life
LL Cool J,U Should,chemistry,2002,society,storytelling,music,society,life
Snoop Dogg,Let's Get Blown,R &amp; G (Rhythm &amp; Gangsta): The Masterpiece,2004,society,storytelling,music,society,life
Tupac,Ratha Be Ya Nigga,All Eyez On Me,1996,society,storytelling,music,society,life
Busta Rhymes,New York Shi,The Big Bang,2006,geography,music,religion,society,life
Kanye West,I Don't Like,Cruel Summer,2012,storytelling,music,religion,society,life
Ice Cube,Ice Cube War &amp; Peace Vol 1: The War Disc Pushin' Weigh,War &amp; Peace Vol. 1: The War Disc,1998,music,biology,society,society,life
Chance the Rapper,Interlude (That's Love),Acid Rap,2013,storytelling,music,society,society,life
Lil Wayne,I Don't Like The Look Of It[Bonus Track],I Am Not A Human Being,2010,storytelling,music,society,society,life
2 Live Crew,The Fuck Shop (1),As Nasty as They Wanna Be,1989,storytelling,religion,society,society,life
2 Live Crew,The Fuck Shop,As Nasty as They Wanna Be,1989,storytelling,religion,society,society,life
Kendrick Lamar,Is It Love,Kendrick Lamar,2009,storytelling,society,society,society,life
Tupac,Old School,Me Against The World,1995,storytelling,society,society,society,life
Lil Wayne,DOA,No Ceilings,2009,geography,storytelling,society,society,life
Lil Wayne,Trippy,I Am Not A Human Being II,2013,life,storytelling,society,society,life
Snoop Dogg,Sticky Fingers,Duces 'N Trayz - The Old Fashioned Way,2001,music,storytelling,society,society,life
De La Soul,Memory Of(US),And The Anonymous Nobody,2016,society,storytelling,society,society,life
Public Enemy,Public Enemy Apocalypse 91 The Enemy Strikes Black 1 Million Bottlebags,Apocalypse 91... The Enemy Strikes Black,1991,society,storytelling,society,society,life
Beastie Boys,Hold It Now - Hit It!,Licensed To Ill,1986,life,life,storytelling,society,life
Eminem,Tonigh,Infinite,1996,music,life,storytelling,society,life
Eminem,The Way I Am,Curtain Call,2005,society,life,storytelling,society,life
Eminem,The Way I Am,The Marshall Mathers LP,2000,society,life,storytelling,society,life
Outkast,Outkast Speakerboxxx  The Love Below Last Call,Speakerboxxx / The Love Below,2003,society,life,storytelling,society,life
Beastie Boys,The Vibes[Japanese Bonus Track],Ill Communication,1994,society,music,storytelling,society,life
Public Enemy,Makes You Blind,New Whirl Odor,2005,society,music,storytelling,society,life
Chance the Rapper,All The Way,Merry Christmas Lil' Mama,2016,music,religion,storytelling,society,life
Jay-Z,Poppin' Tags,The Blueprint 2: The Gift &amp; The Curse,2002,life,society,storytelling,society,life
Beastie Boys,Live At PJ's,Check Your Head,1992,music,society,storytelling,society,life
Nas,Nas Is Like,I Am,1999,storytelling,life,war,society,life
Nas,Shoot 'Em Up,Nastradamus,1999,life,storytelling,war,society,life
LL Cool J,Feel My Heart Bea,Exit 13,2008,society,government,biology,storytelling,life
Jay-Z,Fallin',American Gangster,2007,society,life,biology,storytelling,life
Run the Jewels,Get I,Run The Jewels,2013,society,life,biology,storytelling,life
Nas,Hope,Hip Hop Is Dead,2006,music,society,biology,storytelling,life
Kanye West,So Appalled,My Beautiful Dark Twisted Fantasy,2010,religion,society,biology,storytelling,life
Wu-Tang Clan,Projects International Remi,Wu-Tang Forever,1997,storytelling,society,biology,storytelling,life
Wu-Tang Clan,The Projects,Wu-Tang Forever,1997,storytelling,society,biology,storytelling,life
Wu-Tang Clan,Killa Beez,Killa Beez: The Sting,2002,music,storytelling,biology,storytelling,life
Busta Rhymes,Dangerous,When Disaster Strikes,1997,society,storytelling,biology,storytelling,life
Lil Wayne,Popular,I Am Not A Human Being,2010,society,life,culture,storytelling,life
Public Enemy,Public Enemy Apocalypse 91 The Enemy Strikes Black A Letter To The New York Pos,Apocalypse 91... The Enemy Strikes Black,1991,society,society,culture,storytelling,life
LL Cool J,I'm Bad,Bigger &amp; Deffer,1987,society,music,geography,storytelling,life
Slum Village,We Gone,Dirty Slums 2,2013,society,music,geography,storytelling,life
The Notorius BIG,Brooklyn Go Hard,Notorious,2009,war,society,geography,storytelling,life
Kanye West,All Falls Down,College Dropout,2004,society,life,government,storytelling,life
Run-DMC,"Can I Get it, Yo",Down With The King,1993,music,geography,life,storytelling,life
Wu-Tang Clan,Never Feel This Pain (1),Legendary Weapons,2011,society,life,life,storytelling,life
Wu-Tang Clan,Never Feel This Pain,Legendary Weapons,2011,society,life,life,storytelling,life
Outkast,Outkast Speakerboxxx  The Love Below D-Boi (Interlude),Speakerboxxx / The Love Below,2003,music,music,life,storytelling,life
Lil Wayne,Duck,No Ceilings 2,2015,society,music,life,storytelling,life
Snoop Dogg,Wasn't Your Faul,Paid Tha Cost To Be Da Boss,2002,society,music,life,storytelling,life
Tupac,Skandalouz,All Eyez On Me,1996,society,music,life,storytelling,life
Kendrick Lamar,Kendrick Lamar Good Kid: MAAD City Black Boy Fly[Deluxe Edition Bonus Track],Good Kid: M.A.A.D City,2012,society,revolution,life,storytelling,life
Jay-Z,Minority Repor,Kingdom Come,2006,life,society,life,storytelling,life
Beastie Boys,Crazy Ass Shi,Hot Sauce Committee Part Two,2011,music,society,life,storytelling,life
Wu-Tang Clan,Hatin' Don't Pay,Killa Beez: The Sting,2002,music,society,life,storytelling,life
Wu-Tang Clan,Keep Watch,A Better Tomorrow,2014,storytelling,society,life,storytelling,life
Outkast,Life Is Like A Musical,Idlewild,2006,society,government,math,storytelling,life
Jay-Z,Jay-Z Magna Carta Holy Grail Versus,Magna Carta... Holy Grail,2013,society,religion,meanings,storytelling,life
Jay-Z,Reminder,The Blueprint 3,2009,society,culture,music,storytelling,life
De La Soul,Ego Trippin' (Part Two),Buhloone Mind State,1993,society,government,music,storytelling,life
Beastie Boys,Alright Hear This,Ill Communication,1994,society,life,music,storytelling,life
Beastie Boys,Shazam!,To The 5 Boroughs,2004,society,life,music,storytelling,life
Drake,Video Girl,Room For Improvement,2006,society,life,music,storytelling,life
Drake,Weston Road Flows,Views,2016,society,life,music,storytelling,life
Jay-Z,Guns &amp; Roses,The Blueprint 2: The Gift &amp; The Curse,2002,society,life,music,storytelling,life
Lil Wayne,I Feel Good,Free Weezy Album,2015,society,life,music,storytelling,life
Public Enemy,Brothers Gonna Work It Ou,Fear Of A Black Planet,1990,society,life,music,storytelling,life
Public Enemy,Welcome To The Terrordome,Fear Of A Black Planet,1990,society,life,music,storytelling,life
Public Enemy,Welcome To The Terrordome,Revolverlution,2002,society,life,music,storytelling,life
Tupac,How Do You Want I,All Eyez On Me,1996,society,life,music,storytelling,life
Tupac,How Do You Want I,Greatest Hits,1998,society,life,music,storytelling,life
Tupac,Thugs Get Lonely Too,Loyal To The Game,2004,society,life,music,storytelling,life
Tupac,Bury Me A G,Resurrection,2003,society,life,music,storytelling,life
"Tyler, the Creator",Blow,Bastard,2009,society,life,music,storytelling,life
Jay-Z,Illest Motherfucker Alive[Deluxe Edition Bonus Track],Watch The Throne,2011,society,math,music,storytelling,life
Kanye West,Illest Motherfucker Alive[Deluxe Edition Bonus Track],Watch The Throne,2011,society,math,music,storytelling,life
Beastie Boys,Triple Trouble,To The 5 Boroughs,2004,society,music,music,storytelling,life
Drake,AM 2 PM,Room For Improvement,2006,society,music,music,storytelling,life
Jay-Z,Stop,Unfinished Business,2004,society,music,music,storytelling,life
Kendrick Lamar,Kendrick Lamar Section80 Blow My High (Members Only),Section.80,2011,society,music,music,storytelling,life
LL Cool J,Funkadelic Relic,14 Shots To The Dome,1993,society,music,music,storytelling,life
Jay-Z,Change The Game,The Dynasty Roc La Familia,2000,society,religion,music,storytelling,life
Lil Wayne,No Type,Sorry 4 The Wait 2,2015,life,society,music,storytelling,life
Lil Wayne,Hotline Bling,No Ceilings 2,2015,society,society,music,storytelling,life
Lil Wayne,Nightmares Of The Bottom,Tha Carter IV,2011,society,storytelling,music,storytelling,life
Snoop Dogg,Peaches N Cream,Bush,2015,society,storytelling,music,storytelling,life
Dr Dre,Nationowl,The Aftermath,1996,music,biology,mythology,storytelling,life
NWA,Real Niggaz,100 Miles And Runnin',1990,society,life,religion,storytelling,life
NWA,Real Niggaz,Efil4zaggin,1991,society,life,religion,storytelling,life
Snoop Dogg,DP Gangsta,"The Game Is To Be Sold, Not To Be Told",1998,society,life,religion,storytelling,life
Tupac,They Don't Give A Fuck About Us,Better Dayz,2002,society,life,religion,storytelling,life
"Tyler, the Creator",RUN,Cherry Bomb,2015,society,life,religion,storytelling,life
Wu-Tang Clan,Little Ghetto Boys,Wu-Tang Forever,1997,society,music,religion,storytelling,life
Jay-Z,Takeover,The Blueprint,2001,music,society,religion,storytelling,life
Tupac,It Ain't Easy,Me Against The World,1995,society,storytelling,religion,storytelling,life
Ice Cube,I Rep That Wes,I Am The West,2010,government,geography,society,storytelling,life
Run-DMC,Soul To Rock And Roll,Tougher Than Leather,1988,music,government,society,storytelling,life
Beastie Boys,The Grasshopper Unit (Keep Movin'),Hello Nasty,1998,music,life,society,storytelling,life
"Tyler, the Creator",Boppin' Bitch[Hidden Track],Goblin,2011,music,life,society,storytelling,life
Lil Wayne,Know What I'm Doin',"Like Father, Like Son",2006,life,music,society,storytelling,life
Lil Wayne,My Name Is,No Ceilings 2,2015,life,music,society,storytelling,life
Lil Wayne,Army Gunz,"Like Father, Like Son",2006,music,music,society,storytelling,life
Lil Wayne,Fresh,No Ceilings 2,2015,music,music,society,storytelling,life
Lil Wayne,Pop That Pussy,The Drought Is Over Part 4,2007,music,music,society,storytelling,life
Lil Wayne,A Dedication,Dedication 4,2012,music,religion,society,storytelling,life
Ice Cube,Fat Ca,I Am The West,2010,biology,society,society,storytelling,life
Nas,Mastermind,God's Son,2002,society,life,storytelling,storytelling,life
Tupac,Krazy,Makaveli - The Don Killuminati: The 7 Day Theory,1996,society,life,storytelling,storytelling,life
Jay-Z,The Watcher 2,The Blueprint 2: The Gift &amp; The Curse,2002,life,society,storytelling,storytelling,life
Kendrick Lamar,For Sale? (Interlude),To Pimp A Butterfly,2015,life,society,storytelling,storytelling,life
Drake,Do What U Do (Remix),Comeback Season,2007,music,society,storytelling,storytelling,life
Slum Village,"Slum Village Fantastic, Vol 2 Eyes Up","Fantastic, Vol. 2",2000,music,society,storytelling,storytelling,life
"Tyler, the Creator",Sandwitches,Goblin,2011,religion,society,storytelling,storytelling,life
Drake,Glow,More Life,2017,society,music,war,storytelling,life
Jay-Z,Change Clothes,The Black Album,2003,society,storytelling,war,storytelling,life
Snoop Dogg,Mission Cleopatra,Paid Tha Cost To Be Da Boss,2002,music,government,geography,war,life
Kendrick Lamar,Kendrick Lamar Good Kid: MAAD City Backseat Freestyle,Good Kid: M.A.A.D City,2012,storytelling,society,life,war,life
Ice Cube,Why Me?,Raw Footage,2008,storytelling,society,music,war,life
Ice Cube,Wicked,The Predator,1992,storytelling,society,music,war,life
Public Enemy,Unstoppable,He Got Game,1998,society,storytelling,music,war,life
Wu-Tang Clan,The Monumen,The W,2000,music,storytelling,religion,war,life
Ice Cube,Man's Best Friend,Death Certificate,1991,storytelling,biology,society,war,life
Lil Wayne,La La La,The Drought Is Over 2 (Carter 3 Sessions),2007,storytelling,biology,society,war,life
Wu-Tang Clan,Take It Back,8 Diagrams,2007,storytelling,music,society,war,life
Outkast,Outkast Speakerboxxx  The Love Below She's Alive,Speakerboxxx / The Love Below,2003,life,storytelling,society,war,life
Busta Rhymes,Anarchy,Anarchy,2000,society,storytelling,society,war,life
Lil Wayne,I Know The Future,The Drought Is Over 2 (Carter 3 Sessions),2007,society,life,storytelling,war,life
Tupac,Troublesome '96,Greatest Hits,1998,society,life,storytelling,war,life
Dr Dre,LAW (Lyrical Assault Weapon),The Aftermath,1996,society,music,storytelling,war,life
LL Cool J,Apple Cobbler,The DEFinition,2004,society,society,storytelling,biology,life
Drake,Doing It Wrong,Take Care,2011,society,storytelling,culture,life,life
Kanye West,Frank's Track,The Life Of Pablo,2016,geography,biology,art,mythology,life
Tupac,Trapped,2Pacalypse Now,1991,life,storytelling,society,storytelling,life
Tupac,Trapped,Greatest Hits,1998,life,storytelling,society,storytelling,life
Wu-Tang Clan,Babies,Iron Flag,2001,life,storytelling,art,biology,math
Snoop Dogg,Rebel Way,Reincarnated,2013,society,storytelling,culture,biology,math
Coolio,From The Bottom 2 The Top,From The Bottom 2 The Top,2009,society,storytelling,life,biology,math
Public Enemy,Riotstarted,The Evil Empire Of Everything,2012,society,storytelling,life,biology,math
Run-DMC,Faces,Back From Hell,1990,storytelling,society,music,biology,math
Drake,Easy To Please,Comeback Season,2007,society,storytelling,music,biology,math
Busta Rhymes,Holla,Genesis,2001,music,storytelling,society,biology,math
Drake,Karaoke,Thank Me Later,2010,society,life,storytelling,biology,math
Public Enemy,Righstarter (Message To A Black Man),Yo! Bum Rush The Show,1987,society,life,storytelling,biology,math
Kanye West,Fade,The Life Of Pablo,2016,society,storytelling,biology,culture,math
De La Soul,I Can Do Anything (Delacratic),3 Feet High And Rising,1989,biology,society,society,culture,math
De La Soul,WRMS: Cat's In Control,De La Soul Is Dead,1991,storytelling,biology,math,geography,math
Busta Rhymes,Tear Da Roof Off,Extinction Level Event,1998,society,life,music,geography,math
Busta Rhymes,Woo-Hah!! Got You All in Check,The Coming,1996,society,life,storytelling,geography,math
Drake,Madiba Riddim,More Life,2017,society,religion,storytelling,geography,math
Busta Rhymes,J Dilla (Skit),The Abstract And The Dragon,2014,society,biology,music,government,math
Public Enemy,Broke Diva,The Evil Empire Of Everything,2012,life,storytelling,society,government,math
De La Soul,De La Soul Smell The DaISY Vocabulary Spills,Smell The Da.I.S.Y.,2014,society,storytelling,biology,life,math
De La Soul,Shopping Bags (She Got From You),The Grind Date,2004,life,society,culture,life,math
Busta Rhymes,Fire,Anarchy,2000,society,storytelling,life,life,math
Busta Rhymes,Turn It Up,When Disaster Strikes,1997,society,storytelling,music,life,math
Jay-Z,New Day,Watch The Throne,2011,society,storytelling,music,life,math
Kanye West,New Day,Watch The Throne,2011,society,storytelling,music,life,math
De La Soul,Not Over Till The Fat Lady Plays The Demo,De La Soul Is Dead,1991,life,storytelling,society,life,math
A Tribe Called Quest,Crew,Beats Rhymes and Life,1996,society,life,storytelling,math,math
Jay-Z,Anything,Kingdom Come,2006,storytelling,society,life,music,math
"Tyler, the Creator",Pigs Fly,Bastard,2009,storytelling,society,life,music,math
Outkast,Mighty O,Idlewild,2006,society,storytelling,life,music,math
LL Cool J,I Need A Bea,Radio,1985,society,music,music,music,math
A Tribe Called Quest,Oh My God,Midnight Marauders,1993,storytelling,society,music,music,math
A Tribe Called Quest,Oh My God,The Anthology,1999,storytelling,society,music,music,math
A Tribe Called Quest,Oh My God,The Love Movement,1998,storytelling,society,music,music,math
NWA,Straight Outta Compton (1),Straight Outta Compton,1988,society,storytelling,music,music,math
NWA,Straight Outta Compton,Straight Outta Compton,1988,society,storytelling,music,music,math
Jay-Z,Beach Chair,Kingdom Come,2006,storytelling,life,society,music,math
Lil Wayne,One Night Only,The Drought Is Over Part 4,2007,storytelling,life,society,music,math
Outkast,You're Beautiful (Interlude),Idlewild,2006,society,storytelling,society,music,math
De La Soul,Held Down,AOI: Bionix,2001,society,life,storytelling,music,math
Eminem,Detroit Vs Everybody,Shady XV,2014,society,life,storytelling,music,math
Eminem,Detroit Vs. Everybody,Shady XV,2014,society,life,storytelling,music,math
Slum Village,"Slum Village Fantastic, Vol 2 CB4","Fantastic, Vol. 2",2000,society,life,storytelling,music,math
Snoop Dogg,In Love With A Thug,No Limit Top Dogg,1999,storytelling,society,life,religion,math
NWA,Gangsta Gangsta,Straight Outta Compton,1988,society,storytelling,life,religion,math
Ice Cube,Ice Cube War &amp; Peace Vol 2: The Peace Disc The Gutter Shi,War &amp; Peace Vol. 2: The Peace Disc,2000,society,music,music,religion,math
Outkast,Gangsta Shi,Stankonia,2000,society,storytelling,music,religion,math
Snoop Dogg,Bring it On,Tha Last Meal,2000,society,music,storytelling,religion,math
Jay-Z,Intro,American Gangster,2007,society,life,government,society,math
Slum Village,"Slum Village Fantastic, Vol 2 What It's All Abou","Fantastic, Vol. 2",2000,music,society,music,society,math
Eminem,Mr Mathers (Skit),Relapse,2009,storytelling,revolution,society,society,math
Chance the Rapper,I'm Your Santa,Merry Christmas Lil' Mama,2016,society,biology,storytelling,society,math
Lil Wayne,Big Wings,No Ceilings 2,2015,life,music,storytelling,society,math
Drake,Views,Views,2016,society,life,biology,storytelling,math
Drake,November 18th,So Far Gone,2009,society,music,life,storytelling,math
Public Enemy,Miuzi Weighs A Ton,Revolverlution,2002,society,war,life,storytelling,math
Public Enemy,Miuzi Weighs A Ton,Yo! Bum Rush The Show,1987,society,war,life,storytelling,math
Ice Cube,$100 Bill Y'all[movie &quot;All About the Benjamins&quot;],In The Movies,2007,society,life,music,storytelling,math
Outkast,Zora (Interlude),Idlewild,2006,society,life,music,storytelling,math
Lil Wayne,Diamonds Dancing,No Ceilings 2,2015,life,society,music,storytelling,math
A Tribe Called Quest,Midnight Marauders Tour Guide,Midnight Marauders,1993,biology,biology,politics,storytelling,math
De La Soul,Tread Water,3 Feet High And Rising,1989,life,society,society,storytelling,math
Run-DMC,Dumb Girl,Raising Hell,1986,storytelling,society,storytelling,storytelling,math
Lil Wayne,What U Kno,Dedication 2: Gangsta Grillz,2006,society,war,storytelling,storytelling,math
Eminem,Trapped,Eminem Presents The Re-Up,2006,music,life,society,war,math
Kendrick Lamar,Barbed Wire,Overly Dedicated,2010,society,life,storytelling,war,math
Jay-Z,Jay-Z Vol 2  Hard Knock Life If I Should Die,Vol. 2... Hard Knock Life,1998,storytelling,life,society,biology,meanings
De La Soul,Grind Date,The Grind Date,2004,society,life,storytelling,biology,meanings
Kanye West,Two Words,College Dropout,2004,music,society,storytelling,biology,meanings
Beastie Boys,Picture This,Hello Nasty,1998,biology,biology,biology,culture,meanings
Eminem,Hello,Relapse,2009,society,life,storytelling,life,meanings
Slum Village,Bare Witness,Villa Manifesto,2010,society,life,biology,music,meanings
LL Cool J,LL Cool J GOAT (Greatest Of All Time) MISSI,G.O.A.T. (Greatest Of All Time),2000,storytelling,society,music,music,meanings
LL Cool J,You'll Rock,Radio,1985,storytelling,society,music,music,meanings
Run-DMC,Beats To The Rhyme,Tougher Than Leather,1988,storytelling,society,music,music,meanings
Run-DMC,Ragtime,Tougher Than Leather,1988,society,life,storytelling,music,meanings
LL Cool J,Jealous,Walking With The Panther,1989,society,storytelling,music,mythology,meanings
Snoop Dogg,Bad 4 Me,That's My Work 2,2013,society,storytelling,music,religion,meanings
Kendrick Lamar,Kendrick Lamar Untitled Unmastered Untitled 05 L 09212014,Untitled Unmastered.,2016,society,storytelling,life,society,meanings
LL Cool J,My Rhyme Ain't Done,Bigger &amp; Deffer,1987,life,storytelling,music,society,meanings
Beastie Boys,Rhyme The Rhyme Well,To The 5 Boroughs,2004,life,life,storytelling,society,meanings
De La Soul,De La Soul The Impossible: Mission TV Series: Pt 1 Beef,The Impossible: Mission TV Series: Pt. 1,2006,society,life,storytelling,society,meanings
Snoop Dogg,Go Away,Tha Last Meal,2000,society,music,culture,storytelling,meanings
Slum Village,"Slum Village Fantastic, Vol 2 Thelonius[Hidden Track]","Fantastic, Vol. 2",2000,society,music,religion,storytelling,meanings
A Tribe Called Quest,His Name is Mutty Ranks,The Love Movement,1998,music,music,society,storytelling,meanings
Jay-Z,Stick 2 The Scrip,The Dynasty Roc La Familia,2000,life,music,society,war,meanings
Eminem,Medicine Ball,Relapse,2009,society,storytelling,biology,culture,medicine
Tupac,Playa Cardz Right (Female),Pac's Life,2006,society,storytelling,music,life,medicine
Public Enemy,Kevorkian,There's A Poison Goin On,1999,life,society,storytelling,music,medicine
Dr Dre,Medicine Man,Compton,2015,society,life,storytelling,religion,medicine
Outkast,Nathaniel,Aquemini,1998,life,religion,storytelling,society,medicine
A Tribe Called Quest,Hot Se,The Anthology,1999,society,storytelling,biology,art,music
A Tribe Called Quest,Hot Se,The Love Movement,1998,society,storytelling,biology,art,music
"Tyler, the Creator",Odd Toddlers,Bastard,2009,music,storytelling,society,art,music
Eminem,My Faul,Slim Shady LP,1999,society,life,storytelling,art,music
Lil Wayne,Scarface,The Drought Is Over 2 (Carter 3 Sessions),2007,society,life,art,biology,music
Busta Rhymes,What's It Gonna Be?!,Extinction Level Event,1998,music,society,biology,biology,music
Dr Dre,Blunt Time,The Aftermath,1996,storytelling,society,biology,biology,music
Jay-Z,Jay-Z Vol 3 Life And Times Of S Carter Snoopy Track,Vol. 3... Life And Times Of S. Carter,1999,life,storytelling,biology,biology,music
2 Live Crew,Move Somethin',Move Somethin',1987,society,storytelling,biology,biology,music
De La Soul,Eye Know,3 Feet High And Rising,1989,society,storytelling,biology,biology,music
Kendrick Lamar,Kendrick Lamar Good Kid: MAAD City The Art Of Peer Pressure,Good Kid: M.A.A.D City,2012,society,storytelling,biology,biology,music
Beastie Boys,The Brouhaha,To The 5 Boroughs,2004,storytelling,society,culture,biology,music
Jay-Z,I Know,American Gangster,2007,society,storytelling,culture,biology,music
Jay-Z,Jay-Z Magna Carta Holy Grail Somewhere In America,Magna Carta... Holy Grail,2013,society,life,geography,biology,music
Ice Cube,It Is What It Is,I Am The West,2010,society,culture,government,biology,music
Public Enemy,Public Enemy Apocalypse 91 The Enemy Strikes Black Shut Em Down,Apocalypse 91... The Enemy Strikes Black,1991,life,society,government,biology,music
Public Enemy,Shut Em Down,Revolverlution,2002,life,society,government,biology,music
Eric B & Rakim,Microphone Fiend,Follow The Leader,1988,society,life,life,biology,music
De La Soul,Much More,The Grind Date,2004,storytelling,music,life,biology,music
Public Enemy,Escapism,How You Sell Soul To A Soulless People Who Sold Their Soul?,2007,society,revolution,life,biology,music
Eminem,Careful What You Wish For[Digital bonus track],Relapse,2009,life,society,life,biology,music
Eminem,Emulate,Straight From The Vault,2011,life,society,life,biology,music
De La Soul,Property Of Spitkickercom,And The Anonymous Nobody,2016,storytelling,society,life,biology,music
Kendrick Lamar,i,To Pimp A Butterfly,2015,storytelling,society,life,biology,music
Lil Wayne,Young Playa,Tha Block Is Hot,1999,storytelling,society,life,biology,music
Lil Wayne,Something You Forgo,The Drought Is Over 2 (Carter 3 Sessions),2007,storytelling,society,life,biology,music
LL Cool J,I've Changed,Todd Smith,2006,storytelling,society,life,biology,music
LL Cool J,Fast Peg,Walking With The Panther,1989,storytelling,society,life,biology,music
Nas,Black Girl Los,It Was Written,1996,storytelling,society,life,biology,music
Nas,Every Ghetto,Stillmatic,2001,storytelling,society,life,biology,music
Public Enemy,Is Your God A Dog,He Got Game,1998,storytelling,society,life,biology,music
Public Enemy,Get Your Shit Together,Revolverlution,2002,storytelling,society,life,biology,music
Run the Jewels,Down,Run The Jewels 3,2016,storytelling,society,life,biology,music
Snoop Dogg,Sumthing Like This Nigh,Doggumentary,2011,storytelling,society,life,biology,music
Snoop Dogg,Doggyland,Tha Doggfather,1996,storytelling,society,life,biology,music
Tupac,Changed Man,Better Dayz,2002,storytelling,society,life,biology,music
